;categories;Count;category_main
425;Yeast extract spreads;1;Pâtes à tartiner
426;es:Postres vegetales con vainilla;1;
427;Champagnes rosés bruts;1;Boissons alcoolisées
428;Laits frais;1;Produits laitiers
429;Charcuteries à cuire;1;Viandes et charcuteries
430;Bleus de Bresse;1;Produits laitiers
431;Cashew butters;1;Pâtes à tartiner
432;Miel;1;Miels
433;Tropical tunas;1;Produits de la mer
434;desserts;1;
435; fermented-foods;1;
436;Saumons fumés;1;Produits de la mer
437;Laits à teneur réduite en lactose;1;Produits laitiers
438;Escargots;1;
439;Saucissons secs;1;Viandes et charcuteries
440;Half-cooked pressed cheeses;1;Viandes et charcuteries
441;Entrées et snacks surgelés;1;Surgelés
442;Tiefkühlprodukte;1;
443;Mixed cereal flakes;1;Pains et céréales
444;Nectars de fruits;1;Jus de fruits
445;Fruits à coques et dérivés;1;
446;AOC cheeses;1;Produits laitiers
447;Thés noirs;1;Thés et infusions
448;Yaourts à boire;1;Produits laitiers
449;Compotes à boire;1;Compote de fruits
450;Mueslis aux graines;1;
451;Fromages triple-crèmes;1;Produits laitiers
452; frozen-foods;1;Surgelés
453; steaks;1;Viandes et charcuteries
454;Lentilles;1;Légumineuses
455;Mueslis;1;
456;fr:Foies gras cuits;1;Viandes et charcuteries
457;Rollmops;1;
458;Flocons;1;Pains et céréales
459;Légumineuses;1;Légumineuses
460;Terrines;1;Viandes et charcuteries
461;Paëlla;1;Plats préparés
462;Yaourts brassés;1;Produits laitiers
463;Compotes pommes cerise;1;Compote de fruits
464;Coulommiers;1;
465; fr:fromages-blancs;1;Produits laitiers
466;Viandes en gelée;1;Viandes et charcuteries
467; vegetable-fats;1;
468; vegetable-oils;1;Huiles
469; ground-steaks;1;Viandes et charcuteries
470;Fruits en conserves;1;Conserves de fruits
471;Toasts;1;Pains et céréales
472;Viande;1;Viandes et charcuteries
473;Industrial cheese;1;Produits laitiers
474; frozen-ground-beef-steaks;1;Viandes et charcuteries
475;Plats préparés à réchauffer au bain-marie;1;Plats préparés
476; crisps;1;Pommes de terre
477;Jus de grenade;1;Jus de fruits
478;de:Siropes simples;1;
479;Smoked fishes;1;Produits de la mer
480;Pizzas calzones;1;Plats préparés
481;Milks;1;Produits laitiers
482; ravioli;1;Plats préparés
483;Crevettes panées;1;Plats préparés, Produits de la mer
484; cakes;1;Biscuits et gateaux
485;Rice Crackers;1;Biscuits et gateaux
486;Milk bread rolls;1;Pains et céréales
487;Noix;1;
488;Fromages de brebis;1;Produits laitiers
489;Huiles d'olive vierges;1;Huiles
490;Surgelé;1;Surgelés
491; cereal-grains;1;Pains et céréales
492;Saucissons secs pur porc;1;Viandes et charcuteries
493;Riz thaï noir;1;Riz
494;Maquereaux;1;Produits de la mer
495;Vegetables;1;Légumes
496;Pizzas aux quatre fromages;1;Plats préparés
497; sugary-snacks;1;Biscuits et gateaux
498;Salmons;1;Produits de la mer
499;Nuts and their products;1;Fruits à coque
500;Thons à l'huile;1;Produits de la mer
501;Graines;1;
502;Pizzas pies and quiches;1;Plats préparés
503;Thons à l'huile d'olive;1;Produits de la mer
504;Sauces Arrabiata;1;Sauces
505;Quiches au poireau;1;Plats préparés
506;Chocolats au lait édulcorés;1;Chocolats
507;Nectar de fruits;1;Jus de fruits
508; fr:charcuteries-diverses;1;Viandes et charcuteries
509; canned-fishes;1;Conserves, Produits de la mer
510;Spaghettis;1;Pâtes alimentaires
511;Plant-based beverages;1;Aliments et boissons à base de végétaux
512; frozen-meats;1;Viandes et charcuteries
513; ground-beef-steaks;1;Viandes et charcuteries
514; fish-fillets;1;Produits de la mer
515; fr:Pois cassés;1;Légumineuses
516;briochettes;1;
517;Fromages à pâte persillée français;1;Produits laitiers
518;Croquants aux amandes;1;
519; canned-meals;1;Plats préparés, Conserves
520; puffed-grains;1;Pains et céréales
521;Glaces;1;Produits laitiers
522;almonds;1;Fruits à coque
523; natural-mineral-waters;1;Eau
524;canned-foods;1;Plats préparés, Conserves
525;Yaourts au bifidus;1;Produits laitiers
526; breakfasts;1;
527;Italian cheeses;1;Produits laitiers
528;Pâtes fraîches;1;Pâtes alimentaires
529;Pâtes à tartiner aux noisettes et au cacao;1;Pâtes à tartiner
530;Milkfat;1;Produits laitiers
531;Produit de la mer;1;Produits de la mer
532;fr:porcs-au-caramel;1;
533;Nut butters;1;Pâtes à tartiner
534;Poitrines de porc;1;Viandes et charcuteries
535;Legumes and their products;1;Légumineuses
536;Pesto;1;Sauces
537;Tuna in brine;1;Produits de la mer
538;Sliced breads;1;Pains et céréales
539;Erdnussbutter;1;Pâtes à tartiner
540;Torsades;1;Pains et céréales
541;Grains soufflées;1;Pains et céréales
542;Erfrischungsgetränke;1;Boissons
543; appetizers;1;
544;Figues séchées;1;Fruits séchés
545;Saucisses françaises;1;Viandes et charcuteries
546;Kirschen;1;Fruits
547;Poissons panés;1;Plats préparés
548;Compote pomme framboise;1;Compote de fruits
549;Beurres;1;Produits laitiers
550;Laits entiers;1;Produits laitiers
551; olive-oils;1;Huiles
552; seeds;1;Fruits à coque
553;Oeufs labellisés biologiques;1;Oeufs
554;Morues;1;Produits de la mer
555;Cheeses of the Netherlands;1;Produits laitiers
556;Camemberts pasteurisés;1;Produits laitiers
557;Waters;1;Eau
558; processed-cheese;1;Produits laitiers
559;de:Siropes;1;
560;Chocolats au lait;1;Chocolats
561; wheats;1;Pains et céréales
562;fresh-meals;1;Plats préparés
563;10 years old;1;
564;Fresh milks;1;Produits laitiers
565;Desserts glacés;1;
566;fromage frais nature;1;Produits laitiers
567;Saucissons;1;Viandes et charcuteries
568;Pains complets;1;Pains et céréales
569;Pizzas et tartes surgelées;1;Plats préparés, Surgelés
570;gouter;1;
571;Fruits based foods;1;Aliments et boissons à base de végétaux
572; frozen-steaks;1;Viandes et charcuteries
573;Poissons à la bordelaise;1;Plats préparés
574; fr:cereales-au-miel;1;Pains et céréales
575;Sandwichs;1;Plats préparés
576; stuffed-pastas;1;Plats préparés
577;Bordeaux;1;Boissons alcoolisées
578; dairy-desserts;1;Produits laitiers
579;White tahini;1;
580;Olives;1;
581;fr:Sirop d'érable;1;
582;Canned corn;1;Conserves, Légumes
583;Fromages à pâte persillée;1;Produits laitiers
584;Pains-au-lait-aux-oeufs-frais;1;Plats préparés
585; puddings;1;
586;Black teas;1;Thés et infusions
587;Boissons végétales desoja à la vanille;1;Aliments et boissons à base de végétaux
588;Tortellini;1;Pâtes alimentaires
589;fr:Boissons végétales de soja;1;Aliments et boissons à base de végétaux
590;Sirops;1;Boissons
591;Charcuteries diverses;1;Viandes et charcuteries
592;Riz noirs;1;Riz
593;Biscuits au chocolat noir;1;Biscuits et gateaux
